index,ticker,name,sector,assetclass,marketvalue,weight,notionalvalue,quantity,price,location,exchange,currency,fxrate,marketcurrency,accrualdate
441,SNA,SNAP ON INC,Industrials,Equity,"13,449,168.00",0.03,"13,449,168.00","37,992.00",354.00,United States,New York Stock Exchange Inc.,USD,1.0,USD,-
440,CDW,CDW CORP,Information Technology,Equity,"13,460,080.53",0.03,"13,460,080.53","96,343.00",139.71,United States,NASDAQ,USD,1.0,USD,-
439,PKG,PACKAGING CORP OF AMERICA,Materials,Equity,"13,508,120.60",0.03,"13,508,120.60","64,660.00",208.91,United States,New York Stock Exchange Inc.,USD,1.0,USD,-
438,BURL,BURLINGTON STORES INC,Consumer Discretionary,Equity,"13,509,170.24",0.03,"13,509,170.24","46,532.00",290.32,United States,New York Stock Exchange Inc.,USD,1.0,USD,-
437,SGI,SOMNIGROUP INTERNATIONAL INC,Consumer Discretionary,Equity,"13,583,404.00",0.03,"13,583,404.00","148,048.00",91.75,United States,New York Stock Exchange Inc.,USD,1.0,USD,-
461,PNR,PENTAIR,Industrials,Equity,"12,646,514.24",0.03,"12,646,514.24","119,668.00",105.68,United States,New York Stock Exchange Inc.,USD,1.0,USD,-
460,WY,WEYERHAEUSER REIT,Real Estate,Equity,"12,659,473.70",0.03,"12,659,473.70","533,255.00",23.74,United States,New York Stock Exchange Inc.,USD,1.0,USD,-
476,COO,COOPER INC,Health Care,Equity,"12,020,879.52",0.03,"12,020,879.52","145,496.00",82.62,United States,NASDAQ,USD,1.0,USD,-
462,TTD,TRADE DESK INC CLASS A,Communication,Equity,"12,593,722.92",0.03,"12,593,722.92","328,732.00",38.31,United States,NASDAQ,USD,1.0,USD,-
477,ATI,ATI INC,Industrials,Equity,"11,976,966.45",0.03,"11,976,966.45","102,411.00",116.95,United States,New York Stock Exchange Inc.,USD,1.0,USD,-
435,SSNC,SS AND C TECHNOLOGIES HOLDINGS INC,Industrials,Equity,"13,846,648.48",0.03,"13,846,648.48","154,504.00",89.62,United States,NASDAQ,USD,1.0,USD,-
487,CG,CARLYLE GROUP INC,Financials,Equity,"11,699,101.54",0.03,"11,699,101.54","191,506.00",61.09,United States,NASDAQ,USD,1.0,USD,-
486,INCY,INCYTE CORP,Health Care,Equity,"11,732,992.11",0.03,"11,732,992.11","117,201.00",100.11,United States,NASDAQ,USD,1.0,USD,-
485,XPO,XPO INC,Industrials,Equity,"11,772,379.96",0.03,"11,772,379.96","83,303.00",141.32,United States,New York Stock Exchange Inc.,USD,1.0,USD,-
484,J,JACOBS SOLUTIONS INC,Industrials,Equity,"11,776,124.00",0.03,"11,776,124.00","87,050.00",135.28,United States,New York Stock Exchange Inc.,USD,1.0,USD,-
483,CRS,CARPENTER TECHNOLOGY CORP,Industrials,Equity,"11,779,484.85",0.03,"11,779,484.85","35,231.00",334.35,United States,New York Stock Exchange Inc.,USD,1.0,USD,-
482,MAA,MID AMERICA APARTMENT COMMUNITIES,Real Estate,Equity,"11,862,099.60",0.03,"11,862,099.60","86,082.00",137.80,United States,New York Stock Exchange Inc.,USD,1.0,USD,-
481,RIVN,RIVIAN AUTOMOTIVE INC CLASS A,Consumer Discretionary,Equity,"11,863,069.90",0.03,"11,863,069.90","567,611.00",20.90,United States,NASDAQ,USD,1.0,USD,-
480,TXT,TEXTRON INC,Industrials,Equity,"11,888,469.84",0.03,"11,888,469.84","131,772.00",90.22,United States,New York Stock Exchange Inc.,USD,1.0,USD,-
479,JLL,JONES LANG LASALLE INC,Real Estate,Equity,"11,939,240.56",0.03,"11,939,240.56","34,411.00",346.96,United States,New York Stock Exchange Inc.,USD,1.0,USD,-
478,TSN,TYSON FOODS INC CLASS A,Consumer Staples,Equity,"11,960,235.84",0.03,"11,960,235.84","204,239.00",58.56,United States,New York Stock Exchange Inc.,USD,1.0,USD,-
475,DOW,DOW INC,Materials,Equity,"12,033,011.40",0.03,"12,033,011.40","516,660.00",23.29,United States,New York Stock Exchange Inc.,USD,1.0,USD,-
463,NVT,NVENT ELECTRIC PLC,Industrials,Equity,"12,568,587.74",0.03,"12,568,587.74","120,643.00",104.18,United States,New York Stock Exchange Inc.,USD,1.0,USD,-
474,HOLX,HOLOGIC INC,Health Care,Equity,"12,164,285.50",0.03,"12,164,285.50","163,279.00",74.50,United States,NASDAQ,USD,1.0,USD,-
473,TPL,TEXAS PACIFIC LAND CORP,Energy,Equity,"12,187,670.44",0.03,"12,187,670.44","42,386.00",287.54,United States,New York Stock Exchange Inc.,USD,1.0,USD,-
472,INVH,INVITATION HOMES INC,Real Estate,Equity,"12,237,841.35",0.03,"12,237,841.35","445,823.00",27.45,United States,New York Stock Exchange Inc.,USD,1.0,USD,-
471,APTV,APTIV PLC,Consumer Discretionary,Equity,"12,253,531.93",0.03,"12,253,531.93","159,323.00",76.91,United States,New York Stock Exchange Inc.,USD,1.0,USD,-
470,TOST,TOAST INC CLASS A,Financials,Equity,"12,258,124.48",0.03,"12,258,124.48","336,392.00",36.44,United States,New York Stock Exchange Inc.,USD,1.0,USD,-
469,DKNG,DRAFTKINGS INC CLASS A,Consumer Discretionary,Equity,"12,275,527.68",0.03,"12,275,527.68","351,936.00",34.88,United States,NASDAQ,USD,1.0,USD,-
468,EVRG,EVERGY INC,Utilities,Equity,"12,286,486.80",0.03,"12,286,486.80","168,840.00",72.77,United States,NASDAQ,USD,1.0,USD,-
467,ESS,ESSEX PROPERTY TRUST REIT INC,Real Estate,Equity,"12,290,585.12",0.03,"12,290,585.12","46,882.00",262.16,United States,New York Stock Exchange Inc.,USD,1.0,USD,-
466,LNT,ALLIANT ENERGY CORP,Utilities,Equity,"12,309,939.88",0.03,"12,309,939.88","188,687.00",65.24,United States,NASDAQ,USD,1.0,USD,-
465,TRU,TRANSUNION,Industrials,Equity,"12,414,531.40",0.03,"12,414,531.40","142,124.00",87.35,United States,New York Stock Exchange Inc.,USD,1.0,USD,-
464,ROL,ROLLINS INC,Industrials,Equity,"12,428,938.80",0.03,"12,428,938.80","205,098.00",60.60,United States,New York Stock Exchange Inc.,USD,1.0,USD,-
436,WWD,WOODWARD INC,Industrials,Equity,"13,648,719.54",0.03,"13,648,719.54","43,833.00",311.38,United States,NASDAQ,USD,1.0,USD,-
433,AMCR,AMCOR PLC,Materials,Equity,"13,985,212.80",0.03,"13,985,212.80","1,680,915.00",8.32,United States,New York Stock Exchange Inc.,USD,1.0,USD,-
434,EXAS,EXACT SCIENCES CORP,Health Care,Equity,"13,912,246.04",0.03,"13,912,246.04","136,972.00",101.57,United States,NASDAQ,USD,1.0,USD,-
406,LVS,LAS VEGAS SANDS CORP,Consumer Discretionary,Equity,"15,112,798.00",0.03,"15,112,798.00","228,290.00",66.20,United States,New York Stock Exchange Inc.,USD,1.0,USD,-
404,VRSN,VERISIGN INC,Information Technology,Equity,"15,219,866.48",0.03,"15,219,866.48","61,789.00",246.32,United States,NASDAQ,USD,1.0,USD,-
403,EXPD,EXPEDITORS INTERNATIONAL OF WASHIN,Industrials,Equity,"15,284,591.52",0.03,"15,284,591.52","100,398.00",152.24,United States,New York Stock Exchange Inc.,USD,1.0,USD,-
402,SBAC,SBA COMMUNICATIONS REIT CORP CLASS,Real Estate,Equity,"15,284,543.40",0.03,"15,284,543.40","79,359.00",192.60,United States,NASDAQ,USD,1.0,USD,-
401,NVR,NVR INC,Consumer Discretionary,Equity,"15,281,071.20",0.03,"15,281,071.20","2,070.00","7,382.16",United States,New York Stock Exchange Inc.,USD,1.0,USD,-
400,CHD,CHURCH AND DWIGHT INC,Consumer Staples,Equity,"15,350,901.86",0.03,"15,350,901.86","179,774.00",85.39,United States,New York Stock Exchange Inc.,USD,1.0,USD,-
399,IP,INTERNATIONAL PAPER,Materials,Equity,"15,387,886.62",0.03,"15,387,886.62","385,758.00",39.89,United States,New York Stock Exchange Inc.,USD,1.0,USD,-
398,CMS,CMS ENERGY CORP,Utilities,Equity,"15,386,442.72",0.03,"15,386,442.72","219,932.00",69.96,United States,New York Stock Exchange Inc.,USD,1.0,USD,-
397,ALAB,ASTERA LABS INC,Information Technology,Equity,"15,453,151.40",0.03,"15,453,151.40","92,390.00",167.26,United States,NASDAQ,USD,1.0,USD,-
396,CASY,CASEYS GENERAL STORES INC,Consumer Staples,Equity,"15,450,883.20",0.03,"15,450,883.20","27,164.00",568.80,United States,NASDAQ,USD,1.0,USD,-
395,CPAY,CORPAY INC,Financials,Equity,"15,552,115.02",0.03,"15,552,115.02","50,139.00",310.18,United States,New York Stock Exchange Inc.,USD,1.0,USD,-
394,ILMN,ILLUMINA INC,Health Care,Equity,"15,592,123.00",0.03,"15,592,123.00","115,540.00",134.95,United States,NASDAQ,USD,1.0,USD,-
393,PTC,PTC INC,Information Technology,Equity,"15,589,188.61",0.03,"15,589,188.61","88,279.00",176.59,United States,NASDAQ,USD,1.0,USD,-
